k	compression rate
1	0.03847296494355318
6	0.16139334521687462
11	0.28431372549019607
16	0.40723410576351754
21	0.530154486036839
26	0.6530748663101604
31	0.7759952465834818
36	0.8989156268568034
41	1.0218360071301247
46	1.1447563874034463
51	1.2676767676767677
56	1.3905971479500892
61	1.5135175282234106
66	1.636437908496732
71	1.7593582887700534
76	1.8822786690433748
81	2.0051990493166962
86	2.1281194295900177
91	2.251039809863339
96	2.373960190136661
101	2.4968805704099823
106	2.6198009506833038
111	2.742721330956625
116	2.8656417112299466
121	2.988562091503268
126	3.1114824717765894
131	3.234402852049911
136	3.3573232323232323
141	3.4802436125965537
146	3.603163992869875
151	3.7260843731431965
156	3.849004753416518
161	3.97192513368984
166	4.094845513963161
171	4.217765894236482
176	4.340686274509804
181	4.463606654783125
186	4.586527035056447
191	4.709447415329768
196	4.83236779560309
201	4.955288175876412
206	5.0782085561497325
211	5.201128936423054
216	5.324049316696375
221	5.446969696969697
226	5.569890077243018
231	5.69281045751634
236	5.815730837789661
241	5.938651218062983
246	6.061571598336304
251	6.184491978609626
256	6.307412358882947
261	6.430332739156269
266	6.55325311942959
271	6.676173499702911
276	6.799093879976233
281	6.922014260249554
286	7.044934640522876
